village_name,latitude,longitude,sowing_date,loss_window_start,loss_window_end,s2_pre_date,s2_pre_ndvi_mean,s2_pre_ndwi_mean,s2_pre_cloud_pct,s1_pre_fallback_used,s1_pre_date,s1_pre_vv_db_mean,s1_pre_vh_db_mean,s2_post_date,s2_post_ndvi_mean,s2_post_ndwi_mean,s2_post_cloud_pct,s1_post_fallback_used,s1_post_date,s1_post_vv_db_mean,s1_post_vh_db_mean,actual_rainfall_total_mm,actual_rainfall_loss_window_mm,normal_rainfall_total_mm,normal_rainfall_loss_window_mm,rainfall_deviation_pct,fetch_status,error_log
Gudur (Raichur),16.2283,76.8283,2024-07-11,2024-09-04,2024-10-01,2024-07-09,0.2939,-0.4085,0.0,False,,,,2024-10-02,0.7207,-0.6688,7.63,False,,,,503.3,106.3,386.58,141.01,30.19,SUCCESS,
Maski (Raichur),15.96,76.66,2024-07-09,2024-09-02,2024-09-29,2024-07-09,0.1597,-0.1508,100.0,True,2024-07-13,-8.08,-16.52,2024-09-27,0.259,-0.2331,100.0,True,2024-09-23,-7.46,-15.1,397.3,72.0,346.31,129.34,14.72,SUCCESS,
Challakere (Chitradurga),14.3167,76.65,2024-07-04,2024-08-27,2024-09-22,2024-07-09,0.2506,-0.2944,0.0,False,,,,2024-09-17,0.254,-0.2731,63.52,True,2024-09-23,-7.54,-14.73,300.0,50.5,236.72,74.64,26.73,SUCCESS,
Hiriyur (Chitradurga),13.945,76.6183,2024-07-06,2024-08-29,2024-09-25,2024-07-04,0.0512,-0.0452,100.0,True,2024-07-08,-7.57,-14.55,2024-09-27,-0.015,0.0182,100.0,True,2024-09-23,-8.01,-15.15,382.1,75.6,271.65,84.79,40.66,SUCCESS,
Holalkere (Chitradurga),14.0333,76.1833,2024-07-01,2024-08-24,2024-09-19,2024-06-24,0.3467,-0.326,87.95,True,2024-07-01,-8.75,-16.45,2024-09-17,-0.0343,0.0584,100.0,True,2024-09-23,-9.3,-16.16,487.3,83.5,359.1,96.98,35.7,SUCCESS,
Hosadurga (Chitradurga),13.8,76.2833,2024-07-03,2024-08-26,2024-09-20,2024-07-04,0.1092,-0.0998,100.0,True,2024-07-01,-5.97,-14.89,2024-09-17,0.3422,-0.3446,61.83,True,2024-09-23,-6.46,-15.45,430.4,49.3,321.26,82.18,33.97,SUCCESS,
Molakalmuru (Chitradurga),14.7333,76.75,2024-07-08,2024-09-02,2024-09-28,2024-07-09,0.2195,-0.2049,100.0,True,2024-07-08,-8.78,-15.78,2024-10-02,0.3773,-0.3561,72.76,True,2024-09-30,-8.08,-14.96,289.4,39.5,239.67,81.69,20.75,SUCCESS,
Harihara (Davanagere),14.5167,75.8,2024-06-25,2024-08-18,2024-09-12,2024-06-24,0.3883,-0.3438,100.0,True,2024-06-19,-8.46,-15.92,2024-09-12,-0.002,0.0234,100.0,True,2024-09-11,-8.78,-16.62,561.1,148.4,419.53,99.44,33.74,SUCCESS,
Channagiri (Davanagere),14.0267,75.9283,2024-06-28,2024-08-22,2024-09-16,2024-06-29,0.1971,-0.1908,100.0,True,2024-07-01,-5.16,-14.19,2024-09-12,0.431,-0.436,0.0,False,,,,603.8,85.2,423.25,103.55,42.66,SUCCESS,
Honnali (Davanagere),14.2467,75.6433,2024-06-22,2024-08-15,2024-09-10,2024-06-24,-0.0033,0.0216,100.0,True,2024-06-19,-9.47,-16.38,2024-09-12,0.3392,-0.2977,97.84,True,2024-09-11,-9.84,-16.89,539.4,157.8,439.82,100.82,22.64,SUCCESS,
Jagalur (Davanagere),14.5333,76.35,2024-07-05,2024-08-28,2024-09-24,2024-07-04,0.0383,-0.0451,100.0,True,2024-07-01,-10.44,-20.19,2024-09-17,0.5658,-0.5279,14.78,False,,,,365.9,76.9,348.0,103.82,5.14,SUCCESS,
Nyamathi (Davanagere),14.15,75.5833,2024-06-24,2024-08-17,2024-09-11,2024-06-24,-0.0176,0.0353,100.0,True,2024-06-19,-10.15,-19.6,2024-09-12,0.5975,-0.5295,72.2,True,2024-09-11,-7.36,-13.94,557.1,135.4,507.89,107.77,9.69,SUCCESS,
Tiptur (Tumakuru),13.2556,76.4783,2024-07-02,2024-08-25,2024-09-20,2024-07-04,0.1046,-0.0946,100.0,True,2024-07-01,-5.22,-14.88,2024-09-17,0.313,-0.3326,30.82,False,,,,499.0,52.9,382.64,100.69,30.41,SUCCESS,
Kunigal (Tumakuru),13.0233,77.0367,2024-07-05,2024-08-28,2024-09-23,2024-07-04,0.1877,-0.1758,100.0,True,2024-07-08,-10.21,-16.89,2024-09-19,0.5539,-0.5226,0.0,False,,,,474.0,85.3,366.44,111.47,29.35,SUCCESS,
Madhugiri (Tumakuru),13.66,77.21,2024-07-08,2024-09-01,2024-09-27,2024-07-06,-0.0438,0.0956,100.0,True,2024-07-08,-6.17,-15.96,2024-09-29,0.392,-0.379,1.14,False,,,,370.8,69.2,288.83,90.48,28.38,SUCCESS,
Sira (Tumakuru),13.7433,76.9033,2024-07-04,2024-08-27,2024-09-22,2024-07-09,0.2338,-0.2588,70.31,True,2024-07-08,-4.99,-15.53,2024-09-17,0.235,-0.2657,3.57,False,,,,479.5,77.8,300.92,91.5,59.34,SUCCESS,
Pavagada (Tumakuru),14.1,77.2833,2024-07-10,2024-09-03,2024-09-30,2024-07-09,0.2995,-0.3067,45.83,False,,,,2024-09-29,0.3288,-0.3195,82.25,True,2024-09-30,-6.54,-13.81,268.6,35.9,276.94,99.52,-3.01,SUCCESS,
Gubbi (Tumakuru),13.3117,76.9383,2024-07-03,2024-08-26,2024-09-21,2024-07-04,0.1253,-0.1082,100.0,True,2024-07-08,-5.47,-14.13,2024-09-19,0.3766,-0.3888,16.25,False,,,,467.4,73.3,372.14,110.94,25.6,SUCCESS,
Turuvekere (Tumakuru),13.16,76.6667,2024-07-01,2024-08-23,2024-09-18,2024-06-29,0.227,-0.218,100.0,True,2024-06-26,-6.23,-15.47,2024-09-17,0.1885,-0.1426,91.26,True,2024-09-18,-6.25,-15.27,454.4,46.5,346.07,96.15,31.3,SUCCESS,
Chikkanayakanahalli (Tumakuru),13.4167,76.6167,2024-07-02,2024-08-25,2024-09-19,2024-07-04,0.169,-0.1521,100.0,True,2024-07-01,-7.47,-15.53,2024-09-17,0.4221,-0.4227,24.97,False,,,,423.6,47.3,338.77,86.37,25.04,SUCCESS,
Bhadravati (Shivamogga),13.84,75.7,2024-06-18,2024-08-10,2024-09-05,2024-06-19,0.0467,-0.0496,100.0,True,2024-06-19,-7.0,-13.95,2024-09-07,0.0294,-0.0188,100.0,True,2024-08-30,-6.67,-13.64,692.3,187.4,496.27,128.16,39.5,SUCCESS,
Shikaripura (Shivamogga),14.27,75.35,2024-06-20,2024-08-14,2024-09-08,2024-06-24,0.4316,-0.4168,0.0,False,,,,2024-09-02,0.4111,-0.3759,94.42,True,2024-09-11,-6.78,-14.76,755.9,216.6,649.8,138.63,16.33,SUCCESS,
Soraba (Shivamogga),14.3833,75.1,2024-06-15,2024-08-08,2024-09-02,2024-06-14,0.2678,-0.2303,100.0,True,2024-06-19,-8.25,-15.35,2024-09-02,0.216,-0.1722,100.0,True,2024-08-30,-7.94,-15.28,919.9,215.1,872.26,198.59,5.46,SUCCESS,
